popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0,0.16,4486.4,9152,9004.8,5856,13574.4,15968,9673.601,3398.4004
64,0.08,0.16,4518.4,8972.8,8940.8,5907.2,13625.6,16384,9724.8,3520
64,0.04,0.12,3840,8716.8,8556.8,5126.4,14073.6,18227.2,9756.8,4262.4
64,0.04,0.16,4486.4,9145.6,9164.8,5881.6,13696,16307.2,9780.267,3480.889
64,0.12,0.16,4614.4,9094.4,9024,5862.4,13760,16537.6,9815.468,3555.556
64,0.16,0.16,4563.2,9152,9043.2,6016,13836.8,16396.8,9834.667,3521.4226
64,0.19999999,0.16,4710.4,9107.2,8979.2,5932.8,13830.4,16646.4,9867.733,3580.4446
64,0.08,0.12,3891.2,8864,8832,5139.2,13920,18624,9878.399,4262.4
64,0.12,0.12,3916.8,8902.4,8736,5305.6,14329.6,18220.8,9901.866,4248.8887
64,0,0.12,3936,8844.8,8678.4,5228.8,13779.2,19123.2,9931.733,4346.311
64,0.24,0.16,4620.8,9228.8,9356.8,6060.8,14105.6,16364.8,9956.267,3519.289
64,0.28,0.16,4588.8,9248,9280,6112,14214.4,17414.4,10142.934,3780.9778
64,0.19999999,0.12,3955.2,8934.4,8947.2,5241.6,14790.4,19481.6,10225.066,4607.2886
64,0.16,0.12,3916.8,8832,9004.8,5184,14329.6,20140.8,10234.667,4667.022
64,0.32,0.16,4640,9356.8,9465.6,6112,14438.4,17676.8,10281.6,3850.6667
64,0.28,0.12,3968,9043.2,9184,5305.6,15033.6,20364.8,10483.2,4810.6665
64,0.24,0.12,3942.4,8883.2,9145.6,5241.6,15001.6,20844.8,10509.866,4942.222
64,0.35999998,0.16,4819.2,9830.4,9676.8,5996.8,14950.4,18112,10564.267,3977.9558
64,0.39999998,0.16,4832,9958.4,9945.6,6265.6,15398.4,18540.8,10823.467,4097.4224
64,0.44,0.16,4793.6,10272,10060.8,6220.8,16064,20064,11245.867,4545.4224
64,0.04,0.19999999,5747.2,10355.2,10464,7468.8,15680,18809.6,11420.8,3882.6667
64,0,0.19999999,5657.6,10329.6,10348.8,7417.6,15936,18854.4,11424,3980.8
64,0.12,0.19999999,5728,10566.4,10483.2,7571.2,15833.6,19155.2,11556.266,3958.755
64,0.08,0.19999999,5907.2,10470.4,10368,7558.4,15641.6,19404.8,11558.401,3976.534
64,0.48,0.16,4896,10457.6,10489.6,6329.6,16729.6,21062.4,11660.8,4823.467
