neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.5,64,2,0.00000001,0.6,0.2,15910.4,23731.2,23673.6,20140.8,32313.6,31526.4,24549.334,4913.778
0.5,64,4,0.00000001,0.6,0.2,15910.4,23731.2,23673.6,20140.8,32313.6,31526.4,24549.334,4913.778
0.5,64,6,0.00000001,0.6,0.2,15910.4,23731.2,23673.6,20140.8,32313.6,31526.4,24549.334,4913.778
0.5,64,8,0.00000001,0.6,0.2,15910.4,23731.2,23673.6,20140.8,32313.6,31526.4,24549.334,4913.778
0.5,64,2,0.00000001,0.8,0.2,14892.8,24198.4,24064,19788.8,32998.4,32684.8,24771.201,5380.2666
0.5,64,4,0.00000001,0.8,0.2,14892.8,24198.4,24064,19788.8,32998.4,32684.8,24771.201,5380.2666
0.5,64,6,0.00000001,0.8,0.2,14892.8,24198.4,24064,19788.8,32998.4,32684.8,24771.201,5380.2666
0.5,64,8,0.00000001,0.8,0.2,14892.8,24198.4,24064,19788.8,32998.4,32684.8,24771.201,5380.2666
0.75,64,2,0.00000001,0.8,0.2,18822.4,27123.2,27206.4,23315.2,35392,35340.8,27866.666,4999.8223
0.75,64,4,0.00000001,0.8,0.2,18822.4,27123.2,27206.4,23315.2,35392,35340.8,27866.666,4999.8223
0.75,64,6,0.00000001,0.8,0.2,18822.4,27123.2,27206.4,23315.2,35392,35340.8,27866.666,4999.8223
0.75,64,8,0.00000001,0.8,0.2,18822.4,27123.2,27206.4,23315.2,35392,35340.8,27866.666,4999.8223
0.75,64,2,0.00000001,0.6,0.2,20633.6,27180.8,27200,23468.8,34579.2,34572.8,27939.201,4424.5337
0.75,64,4,0.00000001,0.6,0.2,20633.6,27180.8,27200,23468.8,34579.2,34572.8,27939.201,4424.5337
0.75,64,6,0.00000001,0.6,0.2,20633.6,27180.8,27200,23468.8,34579.2,34572.8,27939.201,4424.5337
0.75,64,8,0.00000001,0.6,0.2,20633.6,27180.8,27200,23468.8,34579.2,34572.8,27939.201,4424.5337
1,64,2,0.00000001,0.6,0.2,23206.4,29344,29510.4,26092.8,36512,36672,30222.932,4246.0435
1,64,4,0.00000001,0.6,0.2,23206.4,29344,29510.4,26092.8,36512,36672,30222.932,4246.0435
1,64,6,0.00000001,0.6,0.2,23206.4,29344,29510.4,26092.8,36512,36672,30222.932,4246.0435
1,64,8,0.00000001,0.6,0.2,23206.4,29344,29510.4,26092.8,36512,36672,30222.932,4246.0435
1,64,2,0.00000001,0.8,0.2,21868.8,29523.2,29587.2,25868.8,37504,37433.6,30297.6,4780.8003
1,64,4,0.00000001,0.8,0.2,21868.8,29523.2,29587.2,25868.8,37504,37433.6,30297.6,4780.8003
1,64,6,0.00000001,0.8,0.2,21868.8,29523.2,29587.2,25868.8,37504,37433.6,30297.6,4780.8003
