cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.32,0.12,64,7724.8,16729.6,16902.4,11257.6,23872,28774.4,17543.467,5853.1563
0.35999998,0.12,64,7462.4,16787.2,16217.6,10771.2,24435.2,30432,17684.266,6499.555
0.28,0.12,64,8153.6,17260.8,17440,11712,24064,27955.2,17764.266,5496.888
0.39999998,0.16,64,8864,17273.6,17356.8,11827.2,24928,29548.8,18299.732,5959.111
0.39999998,0.12,64,7187.2,16601.6,16332.8,10355.2,25286.4,34566.4,18388.268,7692.0884
0.44,0.16,64,8224,17126.4,16972.8,11654.4,25504,31110.4,18432,6583.4663
0.35999998,0.16,64,9049.6,17644.8,17587.2,12614.4,25209.6,29344,18574.934,5801.2446
0.24,0.12,64,8569.6,18201.6,18220.8,12569.6,24934.4,29164.8,18610.133,5626.311
0.32,0.16,64,9126.4,17996.8,18137.6,13062.4,25318.4,29619.2,18876.799,5727.9995
0.24,0.08,64,7347.2,18406.4,18598.4,11232,26035.2,34003.2,19270.4,7165.8667
0.48,0.16,64,7987.2,17113.6,17216,10982.4,27507.2,35302.4,19351.467,8035.555
0.28,0.16,64,9734.4,18515.2,18828.8,13798.4,25836.8,29952,19444.266,5633.422
0.19999999,0.12,64,8934.4,19257.6,19065.6,13350.4,26092.8,30080,19463.467,5748.6226
0.19999999,0.08,64,7974.4,19494.4,19398.4,11929.6,27296,32979.2,19845.334,6861.511
0.24,0.16,64,9836.8,19680,19366.4,14777.6,26854.4,31155.2,20278.4,5817.6
0.16,0.12,64,9497.6,20953.6,20838.4,14502.4,28032,32300.8,21020.799,6097.0664
0.16,0.08,64,8576,20979.2,21094.4,13376,28569.6,33689.6,21047.467,6737.067
0.48,0.19999999,64,9632,19820.8,19552,13292.8,29939.2,35846.4,21347.2,7697.066
0.44,0.19999999,64,10380.8,19776,19756.8,14355.2,29094.4,34732.8,21349.334,7042.845
0.19999999,0.16,64,10412.8,20768,20518.4,15692.8,28108.8,32723.2,21370.666,6030.222
0.39999998,0.19999999,64,11123.2,20390.4,20230.4,15008,29388.8,34604.8,21790.932,6803.9106
0.52,0.19999999,64,9113.6,19507.2,19577.6,12582.4,30400,39916.8,21849.6,8872.534
0.35999998,0.19999999,64,11270.4,20742.4,20486.4,15929.6,29536,35411.2,22229.334,6829.511
0.32,0.19999999,64,11673.6,20934.4,20915.2,17075.2,29990.4,36025.6,22769.068,6825.957
0.16,0.16,64,10982.4,22297.6,22131.2,16832,30284.8,34515.2,22840.533,6372.978
0.12,0.08,64,9568,23436.8,23372.8,14969.6,31078.4,36320,23124.266,7236.9785
0.12,0.12,64,10592,23372.8,23257.6,16563.2,31212.8,35430.4,23404.797,6611.199
0.28,0.19999999,64,12160,21529.6,21574.4,17683.2,30848,36665.6,23410.135,6897.779
0.24,0.19999999,64,12505.6,22412.8,22464,18432,31763.2,37760,24222.932,7025.7773
0.12,0.16,64,12012.8,24697.6,24480,18848,33062.4,38419.2,25253.334,6991.6445
0.19999999,0.19999999,64,12736,23641.6,23500.8,19270.4,33209.6,39347.2,25284.268,7329.4224
0.52,0.23999998,64,11353.6,23724.8,23692.8,15545.6,36934.4,45894.4,26190.932,10148.977
0.48,0.23999998,64,12800,24544,24652.8,17337.6,36198.4,44076.8,26601.6,9024
0.16,0.19999999,64,13472,25107.2,24825.6,20262.4,35110.4,40972.8,26625.064,7611.0215
0.08,0.08,64,11507.2,27379.2,27366.4,17580.8,36121.6,41472,26904.531,8240.356
0.08,0.12,64,12211.2,27449.6,27494.4,19052.8,36115.2,41344,27277.867,7763.9106
0.44,0.23999998,64,13849.6,25350.4,25369.6,18867.2,37158.4,45382.4,27662.932,9071.644
0.39999998,0.23999998,64,14988.8,25932.8,25792,20729.6,38233.6,46880,28759.469,9198.223
0.12,0.19999999,64,14201.6,27212.8,27174.4,21702.4,38022.4,44281.6,28765.865,8257.422
0.08,0.16,64,13491.2,28595.2,28691.2,21196.8,38579.2,44019.2,29095.467,8135.822
0,0.04,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.08,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.12,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.16,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.19999999,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.23999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.28,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.32,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.04,64,14502.4,37843.2,38105.6,23072,inf,inf,inf,inf
0.04,0.08,64,15033.6,36678.4,36806.4,24083.2,47974.4,inf,inf,inf
0.04,0.12,64,15840,36761.6,36627.2,24812.8,48249.6,inf,inf,inf
0.04,0.16,64,17024,37939.2,37945.6,27366.4,inf,inf,inf,inf
0.04,0.19999999,64,18918.4,40428.8,40147.2,29651.2,inf,inf,inf,inf
0.04,0.23999998,64,20384,43360,43232,32748.8,inf,inf,inf,inf
0.04,0.28,64,23244.8,47443.2,47379.2,37920,inf,inf,inf,inf
0.04,0.32,64,26860.8,inf,inf,44800,inf,inf,inf,inf
0.04,0.35999998,64,30963.2,inf,inf,inf,inf,inf,inf,inf
0.04,0.39999998,64,37094.4,inf,inf,inf,inf,inf,inf,inf
