popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0,0.12,1952,4326.4,4358.4,2790.4,5881.6,7001.6,4385.0664,1371.0221
64,0.08,0.12,1958.4,4563.2,4435.2,2752,6016,6950.4,4445.8667,1397.3334
64,0.04,0.12,1913.6,4492.8,4473.6,2809.6,6022.4,6982.4,4449.067,1391.6442
64,0.12,0.12,2016,4460.8,4569.6,2828.8,6028.8,7104,4501.3335,1399.4667
64,0.16,0.12,1907.2,4576,4492.8,2841.6,6227.2,7110.4,4525.8667,1445.3334
64,0.08,0.08,1804.8,4518.4,4563.2,2656,6323.2,7321.6,4531.2,1538.1334
64,0,0.16,2118.4,4518.4,4371.2,2924.8,6176,7110.4,4536.5337,1404.4447
64,0.04,0.08,1715.2,4588.8,4614.4,2598.4,6163.2,7609.6,4548.2666,1594.3112
64,0,0.08,1753.6,4556.8,4492.8,2630.4,6169.6,7731.2,4555.733,1596.8002
64,0.04,0.16,2156.8,4531.2,4544,2880,6188.8,7315.2,4602.6665,1432.8888
64,0.16,0.08,1804.8,4723.2,4704,2700.8,6188.8,7564.8,4614.4,1574.4
64,0.08,0.16,2060.8,4556.8,4563.2,3027.2,6284.8,7270.4,4627.2,1433.6
64,0.12,0.08,1830.4,4601.6,4652.8,2713.6,6380.8,7705.6,4647.4663,1598.9332
64,0.19999999,0.12,2003.2,4761.6,4588.8,2892.8,6310.4,7392,4658.1333,1496.5333
64,0.24,0.12,2016,4780.8,4582.4,2969.6,6361.6,7296,4667.733,1478.4
64,0.12,0.16,2169.6,4640,4691.2,3091.2,6374.4,7321.6,4714.6665,1422.2222
64,0.19999999,0.08,1862.4,4825.6,4838.4,2784,6361.6,7712,4730.6665,1604.9779
64,0.16,0.16,2144,4684.8,4614.4,3065.6,6579.2,7315.2,4733.8667,1475.5557
64,0.24,0.08,1888,4819.2,4755.2,2848,6560,7744,4769.067,1605.3334
64,0.28,0.12,2124.8,4832,4876.8,3104,6374.4,7552,4810.6665,1464.1777
64,0.19999999,0.16,2304,4697.6,4710.4,3289.6,6483.2,7443.2,4821.3335,1427.9111
64,0.28,0.08,2041.6,4902.4,4915.2,2931.2,6611.2,7846.4,4874.667,1592.1777
64,0.32,0.12,2137.6,4870.4,4908.8,3084.8,6688,7609.6,4883.1997,1518.9332
64,0.24,0.16,2214.4,4819.2,4896,3372.8,6496,7603.2,4900.266,1432.8887
64,0.35999998,0.12,2092.8,4940.8,4953.6,3276.8,6688,7750.4,4950.4,1513.6
64,0.32,0.08,2080,4992,5075.2,2899.2,6720,8076.8,4973.8667,1656.1777
64,0.28,0.16,2342.4,4998.4,4896,3264,6675.2,7680,4976,1475.2001
64,0,0.19999999,2406.4,4793.6,4889.6,3193.6,6841.6,7897.6,5003.733,1577.2443
64,0.35999998,0.08,2022.4,5158.4,5056,3020.8,6828.8,8006.4,5015.4663,1662.5778
64,0.04,0.19999999,2297.6,4864,4825.6,3392,6873.6,7846.4,5016.5337,1562.3112
64,0.39999998,0.12,2195.2,5094.4,5024,3276.8,6860.8,7904,5059.1997,1560.5332
64,0.32,0.16,2310.4,4896,5081.6,3340.8,6828.8,7987.2,5074.1333,1558.4
64,0.08,0.19999999,2304,4953.6,5068.8,3296,6937.6,8096,5109.3335,1604.9779
64,0.39999998,0.08,2054.4,5292.8,5139.2,3174.4,6899.2,8166.4,5121.067,1671.111
64,0.44,0.12,2220.8,5331.2,5209.6,3436.8,6886.4,7968,5175.4663,1564.4447
64,0.12,0.19999999,2374.4,4992,4940.8,3449.6,7027.2,8339.2,5187.1997,1664
64,0.35999998,0.16,2444.8,5222.4,5107.2,3430.4,6988.8,8064,5209.6,1548.7999
64,0.44,0.08,2112,5382.4,5312,3232,7046.4,8275.2,5226.6665,1703.1112
64,0.16,0.19999999,2521.6,5024,4979.2,3532.8,7129.6,8185.6,5228.8003,1619.2001
64,0.39999998,0.16,2400,5241.6,5260.8,3558.4,7033.6,8230.4,5287.467,1563.0225
64,0.19999999,0.19999999,2400,5177.6,5011.2,3443.2,7251.2,8512,5299.2,1721.6001
64,0.48,0.12,2400,5356.8,5260.8,3532.8,7110.4,8256,5319.467,1588.2666
64,0.24,0.19999999,2470.4,5280,5126.4,3545.6,7353.6,8499.2,5379.1997,1698.1333
64,0.48,0.08,2227.2,5484.8,5548.8,3308.8,7244.8,8480,5382.4,1742.9332
64,0.44,0.16,2489.6,5427.2,5350.4,3763.2,7129.6,8281.6,5406.933,1539.1998
64,0.28,0.19999999,2585.6,5260.8,5267.2,3769.6,7308.8,8793.6,5497.6,1702.3999
