h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
24,0.76,64,1056,5260.8,5299.2,1516.8,22054.4,9881.6,7511.4663,5637.689
20,0.68,64,1056,5318.4,5420.8,1516.8,22387.2,9600,7549.8667,5629.156
18,0.68,64,979.2,5830.4,5177.6,1472,22144,9734.4,7556.267,5588.6226
23,0.68,64,1036.8,5337.6,4921.6,1510.4,22547.2,10118.4,7578.6665,5836.0884
23,0.64,64,992,5792,5587.2,1516.8,21849.6,9779.2,7586.1333,5485.511
24,0.68,64,1113.6,5574.4,5548.8,1523.2,22060.8,9958.4,7629.867,5586.4897
24,0.39999998,64,1120,5798.4,5516.8,1561.6,20448,11353.6,7633.0664,5511.822
21,0.88,64,1036.8,5024,4947.2,1484.8,23577.6,9779.2,7641.5996,6024.533
16,0.56,64,1004.8,5356.8,5331.2,1484.8,22060.8,10707.2,7657.5996,5817.6
18,0.84,64,1036.8,4934.4,5376,1433.6,23769.6,9395.2,7657.5996,5949.867
22,0.64,64,1043.2,5414.4,5555.2,1574.4,21779.2,10611.2,7662.933,5688.1777
22,0.6,64,1024,5484.8,5382.4,1548.8,21913.6,10643.2,7666.133,5741.511
21,0.6,64,1068.8,5292.8,5171.2,1484.8,22656,10342.4,7669.3335,5886.5776
24,0.64,64,1075.2,5542.4,5478.4,1555.2,21606.4,10828.8,7681.067,5691.023
22,0.72,64,1036.8,5446.4,5382.4,1555.2,22796.8,9875.2,7682.1333,5769.2446
20,0.96,64,1030.4,5209.6,4998.4,1484.8,23878.4,9497.6,7683.2007,6003.1997
16,0.43999997,64,1049.6,5676.8,5478.4,1484.8,21824,10598.4,7685.3335,5683.9116
21,0.92,64,1056,5235.2,5312,1491.2,23257.6,9779.2,7688.533,5886.5776
23,0.48,64,1068.8,5689.6,5504,1529.6,21196.8,11161.6,7691.733,5658.311
24,0.35999998,64,1049.6,6214.4,5932.8,1542.4,20531.2,10905.6,7696,5348.2666
23,0.84,64,1062.4,5203.2,5401.6,1472,22905.6,10144,7698.1333,5884.444
20,0.48,64,1068.8,5472,5484.8,1465.6,21094.4,11622.4,7701.3335,5771.3774
24,0.96,64,1062.4,5068.8,5017.6,1491.2,24217.6,9382.4,7706.6665,6062.2227
23,0.6,64,1030.4,5638.4,5395.2,1638.4,22528,10028.8,7709.8667,5712.3555
18,0.56,64,1036.8,5152,5324.8,1516.8,22259.2,10976,7710.933,5937.7773
21,0.64,64,1004.8,5516.8,5516.8,1555.2,22265.6,10412.8,7712,5751.467
23,0.39999998,64,1030.4,5952,5657.6,1555.2,21164.8,10924.8,7714.1333,5553.778
23,0.52,64,1088,5894.4,5715.2,1529.6,21510.4,10560,7716.267,5545.9556
17,0.64,64,1075.2,5280,5555.2,1465.6,22764.8,10240,7730.1333,5848.1777
18,0.39999998,64,1049.6,5843.2,5888,1510.4,21318.4,10771.2,7730.1333,5543.1113
19,0.52,64,992,5587.2,5612.8,1504,22278.4,10412.8,7731.1997,5742.9336
19,0.43999997,64,1030.4,5657.6,5836.8,1523.2,21452.8,10924.8,7737.6,5634.1333
