popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0,0.12,601.6,1875.2,1830.4,1075.2,2476.8,2854.4,1785.6,631.4666
64,0.00000001,0.04,0.12,627.2,1836.8,1811.2,998.4,2515.2,2937.6,1787.7334,649.95557
64,0.00000001,0,0.16,627.2,1862.4,1843.2,1056,2508.8,2848,1790.9332,632.8889
64,0.00000001,0.08,0.12,691.2,1856,1881.6,1056,2476.8,2912,1812.2666,625.77783
64,0.00000001,0.12,0.12,608,1920,1894.4,1094.4,2553.6,2912,1830.4,652.80005
64,0.00000001,0,0.08,652.8,1920,1900.8,1062.4,2572.8,2905.6,1835.7334,652.0889
64,0.00000001,0.04,0.16,646.4,1920,1868.8,1113.6,2579.2,2912,1840,640
64,0.00000001,0.08,0.16,704,1856,1958.4,1062.4,2598.4,2860.8,1840,637.86664
64,0.00000001,0.04,0.08,652.8,1939.2,1952,1036.8,2540.8,2924.8,1841.0665,664.1778
64,0.00000001,0.08,0.08,633.6,1894.4,1952,1068.8,2572.8,2963.2,1847.4667,664.1778
64,0.00000001,0.12,0.08,684.8,1996.8,1900.8,1024,2572.8,3008,1864.5333,673.4223
64,0.00000001,0.16,0.12,672,1971.2,1913.6,1094.4,2598.4,2956.8,1867.7333,656.3555
64,0.00000001,0.12,0.16,684.8,1990.4,1964.8,1113.6,2560,2944,1876.2666,651.3778
64,0.00000001,0,0.19999999,640,1920,1932.8,1068.8,2662.4,3046.4,1878.4,682.6667
64,0.00000001,0.04,0.19999999,755.2,1888,1907.2,1062.4,2656,3104,1895.4667,660.2666
64,0.00000001,0.16,0.16,736,1971.2,1971.2,1158.4,2553.6,2988.8,1896.5333,632.8889
64,0.00000001,0.08,0.19999999,646.4,1900.8,1952,1126.4,2649.6,3116.8,1898.6666,674.8445
64,0.00000001,0.16,0.08,704,1977.6,1971.2,1062.4,2681.6,2995.2,1898.6666,676.9778
64,0.00000001,0.19999999,0.16,620.8,1958.4,2022.4,1113.6,2732.8,3033.6,1913.6,697.60004
64,0.00000001,0.19999999,0.12,652.8,2035.2,2028.8,1113.6,2598.4,3072,1916.7999,689.0667
64,0.00000001,0,0.04,608,2009.6,1977.6,1011.2,2688,3238.4,1922.1334,741.6889
64,0.00000001,0.12,0.19999999,582.4,1977.6,1958.4,1139.2,2764.8,3123.2,1924.2666,708.9778
