init_jump,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.2,1371.1,1452.6,1489.8,1079.2,1398.4,1378.1,1361.5333,94.11112
0.15,1497.1,1575.4,1577.2,1143.4,1475.1,1510.2,1463.0668,106.55546
0.1,1520.1,1579.1,1593.1,1173.8,1552,1534.6,1492.1166,106.10559
0.01,1793.2,1765.2,1786.4,1355,1842.5,1808.8,1725.1832,123.39451
0.001,2026.9,1970.8,1991,1741.1,2045.7,2046.3,1970.2999,76.40006
0.0001,2152.2,2127.9,2142.5,1904.6,2211.9,2206.4,2124.25,73.21661
0.00001,2171.2,2355.3,2371.9,2078.9,2460.8,2432.2,2311.7166,124.444496
0.000001,2211.2,2580.4,2602,2254.3,2583.2,2599.4,2471.75,159.3333
0.00000001,inf,inf,inf,inf,inf,inf,inf,inf
0.0000001,2239.3,inf,inf,2277,inf,inf,inf,inf
0.25,1318.2,1416.1,inf,1042.2,1341.1,1327.6,inf,inf
0.3,1210.7,inf,inf,996.4,1263.2,inf,inf,inf
0.35000002,1156.8,inf,inf,974.6,inf,inf,inf,inf
0.4,1085.5,inf,inf,926.5,inf,inf,inf,inf
0.45000002,1040.3,inf,inf,895.9,inf,inf,inf,inf
0.5,970.2,inf,inf,875.3,inf,inf,inf,inf
0.55,871.9,inf,inf,840.3,inf,inf,inf,inf
0.6,799.1,inf,inf,823.1,inf,inf,inf,inf
0.65,inf,inf,inf,785.6,inf,inf,inf,inf
0.70000005,inf,inf,inf,inf,inf,inf,inf,inf
0.75,inf,inf,inf,inf,inf,inf,inf,inf
0.8000001,inf,inf,inf,inf,inf,inf,inf,inf
0.85,inf,inf,inf,inf,inf,inf,inf,inf
0.9,inf,inf,inf,inf,inf,inf,inf,inf
0.95000005,inf,inf,inf,inf,inf,inf,inf,inf
1,inf,inf,inf,inf,inf,inf,inf,inf
