h,p_best_rate,popsize,megacity,mean,mad
16,0.19999999,64,32480,32480,0
12,0.12,64,34540.8,34540.8,0
14,0.19999999,64,34572.8,34572.8,0
6,0.16,64,35360,35360,0
8,0.16,64,37132.8,37132.8,0
2,0.04,64,37644.8,37644.8,0
13,0.23999998,64,38227.2,38227.2,0
20,0.19999999,64,38732.8,38732.8,0
18,0.35999998,64,39084.8,39084.8,0
15,0.48,64,40448,40448,0
23,0.43999997,64,40819.2,40819.2,0
4,0.16,64,40902.4,40902.4,0
15,0.39999998,64,40953.6,40953.6,0
24,0.35999998,64,41664,41664,0
24,0.6,64,41888,41888,0
9,0.32,64,42329.6,42329.6,0
6,0.39999998,64,42502.4,42502.4,0
21,0.43999997,64,42803.2,42803.2,0
19,0.39999998,64,42982.4,42982.4,0
19,0.43999997,64,43385.6,43385.6,0
19,0.48,64,43571.2,43571.2,0
21,0.8,64,43660.8,43660.8,0
12,0.39999998,64,43673.6,43673.6,0
19,0.6,64,43699.2,43699.2,0
1,0.39999998,64,43859.2,43859.2,0
24,0.64,64,43974.4,43974.4,0
13,0.6,64,44044.8,44044.8,0
24,0.52,64,44326.4,44326.4,0
20,0.52,64,44422.4,44422.4,0
20,0.6,64,44505.6,44505.6,0
22,0.76,64,44652.8,44652.8,0
13,0.39999998,64,44876.8,44876.8,0
2,0.43999997,64,45024,45024,0
24,0.8,64,45363.2,45363.2,0
14,0.52,64,45388.8,45388.8,0
10,0.6,64,45555.2,45555.2,0
5,0.52,64,45587.2,45587.2,0
24,0.84,64,45804.8,45804.8,0
12,0.43999997,64,46080,46080,0
8,0.39999998,64,46380.8,46380.8,0
9,0.48,64,46585.6,46585.6,0
17,0.88,64,46816,46816,0
18,0.56,64,46873.6,46873.6,0
20,0.84,64,47033.6,47033.6,0
21,0.68,64,47097.6,47097.6,0
15,0.52,64,47564.8,47564.8,0
17,0.68,64,47622.4,47622.4,0
9,0.56,64,47667.2,47667.2,0
8,0.6,64,47814.4,47814.4,0
7,0.52,64,47840,47840,0
24,0.76,64,48044.8,48044.8,0
8,0.48,64,48102.4,48102.4,0
23,0.96,64,48518.4,48518.4,0
23,0.72,64,48614.4,48614.4,0
15,0.8,64,48672,48672,0
6,0.48,64,48768,48768,0
12,0.76,64,48806.4,48806.4,0
18,0.72,64,48902.4,48902.4,0
14,0.68,64,48985.6,48985.6,0
22,0.8,64,48985.6,48985.6,0
23,0.88,64,48985.6,48985.6,0
9,0.52,64,49228.8,49228.8,0
21,0.92,64,49235.2,49235.2,0
21,0.72,64,49331.2,49331.2,0
20,0.92,64,49350.4,49350.4,0
15,0.72,64,49382.4,49382.4,0
10,0.56,64,49625.6,49625.6,0
20,0.72,64,49811.2,49811.2,0
21,0.88,64,49939.2,49939.2,0
13,0.88,64,49984,49984,0
8,0.68,64,50022.4,50022.4,0
21,0.76,64,50457.6,50457.6,0
12,0.68,64,50489.6,50489.6,0
19,0.64,64,50700.8,50700.8,0
22,0.88,64,50784,50784,0
