popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.24,0.04,12076.8,12076.8,0
64,0.19999999,0.04,14310.4,14310.4,0
64,0,0.08,15974.4,15974.4,0
64,0.28,0.04,17305.6,17305.6,0
64,0.08,0.08,17881.6,17881.6,0
64,0.32,0.04,19635.2,19635.2,0
64,0.12,0.08,22713.6,22713.6,0
64,0,0.12,23104,23104,0
64,0.16,0.08,23692.8,23692.8,0
64,0.91999996,0.04,23827.2,23827.2,0
64,0.44,0.04,24332.8,24332.8,0
64,0.39999998,0.04,24518.4,24518.4,0
64,0.88,0.04,25760,25760,0
64,0.19999999,0.08,26054.4,26054.4,0
64,0.96,0.04,26758.4,26758.4,0
64,0.48,0.04,27251.2,27251.2,0
64,0.08,0.12,30540.8,30540.8,0
64,0.04,0.12,30790.4,30790.4,0
64,0.91999996,0.08,31315.2,31315.2,0
64,0.59999996,0.04,31347.2,31347.2,0
64,0.96,0.08,32006.4,32006.4,0
64,0.84,0.04,32224,32224,0
64,0.04,0.16,34368,34368,0
64,0.96,0.12,34905.6,34905.6,0
64,0.28,0.08,35801.6,35801.6,0
64,0,0.16,35872,35872,0
64,0.76,0.04,36480,36480,0
64,0.96,0.16,36588.8,36588.8,0
64,0.12,0.12,36684.8,36684.8,0
64,0.91999996,0.12,37267.2,37267.2,0
64,0.24,0.08,37824,37824,0
64,0.71999997,0.04,38489.6,38489.6,0
64,0.79999995,0.04,39302.4,39302.4,0
64,0.35999998,0.08,39398.4,39398.4,0
64,0.56,0.04,39449.6,39449.6,0
64,0.96,0.19999999,40038.4,40038.4,0
64,0.16,0.12,40204.8,40204.8,0
64,0.32,0.08,41612.8,41612.8,0
64,0.88,0.08,42956.8,42956.8,0
64,0.24,0.12,43635.2,43635.2,0
64,0.91999996,0.16,44403.2,44403.2,0
64,0.12,0.16,44825.6,44825.6,0
64,0.68,0.04,45286.4,45286.4,0
64,0.96,0.23999998,45440,45440,0
64,0.64,0.04,46528,46528,0
64,0.19999999,0.12,47347.2,47347.2,0
64,0,0.19999999,48812.8,48812.8,0
64,0.08,0.16,48883.2,48883.2,0
64,0.08,0.19999999,49632,49632,0
64,0.96,0.28,49683.2,49683.2,0
64,0.04,0.19999999,50099.2,50099.2,0
64,0.96,0.32,51776,51776,0
64,0.96,0.35999998,54950.4,54950.4,0
64,0.91999996,0.19999999,55200,55200,0
64,0.84,0.08,56684.8,56684.8,0
64,0.16,0.16,57478.4,57478.4,0
64,0.28,0.12,58380.8,58380.8,0
64,0.88,0.12,60556.8,60556.8,0
64,0.32,0.12,61632,61632,0
64,0.91999996,0.23999998,62630.4,62630.4,0
64,0.96,0.39999998,64179.2,64179.2,0
64,0.96,0.43999997,65612.8,65612.8,0
64,0.48,0.08,65811.2,65811.2,0
64,0.04,0.23999998,65920,65920,0
64,0.12,0.19999999,66112,66112,0
64,0.96,0.48,68576,68576,0
64,0,0.23999998,68787.2,68787.2,0
64,0.44,0.08,70444.8,70444.8,0
64,0.16,0.19999999,70848,70848,0
64,0.88,0.16,71328,71328,0
64,0.91999996,0.28,72428.8,72428.8,0
64,0.39999998,0.08,72646.4,72646.4,0
64,0,0.28,73651.2,73651.2,0
64,0.79999995,0.08,73862.4,73862.4,0
64,0.96,0.52,74592,74592,0
64,0.08,0.23999998,74688,74688,0
64,0.19999999,0.16,75712,75712,0
64,0.04,0.28,78995.2,78995.2,0
64,0.96,0.56,79616,79616,0
64,0.24,0.16,83334.4,83334.4,0
64,0.28,0.16,85638.4,85638.4,0
64,0.84,0.12,85676.8,85676.8,0
64,0.35999998,0.12,87251.2,87251.2,0
64,0.96,0.6,89388.8,89388.8,0
64,0.91999996,0.32,89440,89440,0
64,0.56,0.08,90668.8,90668.8,0
64,0.16,0.23999998,92518.4,92518.4,0
64,0.19999999,0.19999999,94848,94848,0
64,0.88,0.19999999,96524.8,96524.8,0
64,0.32,0.16,96620.8,96620.8,0
64,0.91999996,0.35999998,99449.6,99449.6,0
64,0.96,0.64,100416,100416,0
64,0.39999998,0.12,103398.4,103398.4,0
64,0.52,0.08,105107.2,105107.2,0
64,0.96,0.68,107590.4,107590.4,0
64,0,0.32,107635.2,107635.2,0
64,0.59999996,0.08,108844.8,108844.8,0
64,0.64,0.08,112115.2,112115.2,0
64,0.91999996,0.39999998,114720,114720,0
64,0.12,0.23999998,115052.8,115052.8,0
64,0.76,0.08,115328,115328,0
64,0.84,0.16,115334.4,115334.4,0
64,0.28,0.19999999,116326.4,116326.4,0
64,0.71999997,0.08,116595.2,116595.2,0
64,0.96,0.72,117792,117792,0
64,0.88,0.23999998,119795.2,119795.2,0
64,0.08,0.32,120774.4,120774.4,0
64,0.24,0.19999999,121043.2,121043.2,0
64,0.12,0.28,121792,121792,0
64,0,0.35999998,125273.6,125273.6,0
64,0.96,0.8,126169.6,126169.6,0
64,0.04,0.32,127417.6,127417.6,0
64,0.08,0.28,129388.8,129388.8,0
64,0.48,0.12,130278.4,130278.4,0
64,0.44,0.12,131232,131232,0
64,0.91999996,0.43999997,131238.4,131238.4,0
64,0.35999998,0.16,133580.8,133580.8,0
64,0.96,0.76,134195.2,134195.2,0
64,0.39999998,0.16,134470.4,134470.4,0
64,0.19999999,0.23999998,136518.4,136518.4,0
64,0.79999995,0.12,137542.4,137542.4,0
64,0.88,0.28,152947.2,152947.2,0
64,0.52,0.12,152972.8,152972.8,0
64,0.24,0.23999998,154566.4,154566.4,0
64,0.32,0.19999999,155699.2,155699.2,0
64,0.96,0.84,158400,158400,0
64,0.91999996,0.48,166937.6,166937.6,0
64,0.16,0.28,168998.4,168998.4,0
64,0.68,0.08,171449.6,171449.6,0
64,0.12,0.32,177190.4,177190.4,0
64,0.96,0.88,183948.8,183948.8,0
64,0.91999996,0.52,186201.6,186201.6,0
64,0.84,0.19999999,192192,192192,0
64,0.96,0.92,195616,195616,0
64,0.08,0.35999998,200998.4,200998.4,0
64,0.44,0.16,201945.6,201945.6,0
64,0.19999999,0.28,202508.8,202508.8,0
64,0.04,0.35999998,206233.6,206233.6,0
64,0.88,0.32,207027.2,207027.2,0
64,0.35999998,0.19999999,208339.2,208339.2,0
64,0.79999995,0.16,211872,211872,0
64,0.76,0.12,214937.6,214937.6,0
64,0.12,0.35999998,216774.4,216774.4,0
64,0.71999997,0.12,228044.8,228044.8,0
64,0.16,0.32,229088,229088,0
64,0.56,0.12,231059.2,231059.2,0
64,0.19999999,0.32,234368,234368,0
64,0.32,0.23999998,235398.4,235398.4,0
64,0.91999996,0.56,235654.4,235654.4,0
64,0.24,0.28,240640,240640,0
64,0.88,0.35999998,254470.4,254470.4,0
64,0.84,0.23999998,259360,259360,0
64,0.96,0.96,264902.4,264902.4,0
64,0.91999996,0.6,273062.4,273062.4,0
64,0.35999998,0.23999998,278092.8,278092.8,0
64,0.59999996,0.12,283897.6,283897.6,0
64,0.08,0.39999998,291180.8,291180.8,0
64,0.88,0.39999998,293766.4,293766.4,0
64,0.91999996,0.64,294073.6,294073.6,0
64,0.32,0.28,301011.2,301011.2,0
64,0.44,0.19999999,320217.6,320217.6,0
64,0.84,0.28,341702.4,341702.4,0
64,0.88,0.43999997,345676.8,345676.8,0
64,0.79999995,0.19999999,357760,357760,0
64,0.91999996,0.68,418060.8,418060.8,0
64,0,0.04,inf,inf,inf
64,0,0.39999998,inf,inf,inf
64,0,0.43999997,inf,inf,inf
64,0,0.48,inf,inf,inf
64,0,0.52,inf,inf,inf
64,0,0.56,inf,inf,inf
64,0,0.6,inf,inf,inf
64,0,0.64,inf,inf,inf
64,0,0.68,inf,inf,inf
64,0,0.72,inf,inf,inf
64,0,0.76,inf,inf,inf
64,0,0.8,inf,inf,inf
64,0,0.84,inf,inf,inf
64,0,0.88,inf,inf,inf
64,0,0.92,inf,inf,inf
64,0,0.96,inf,inf,inf
64,0.04,0.04,inf,inf,inf
64,0.04,0.08,inf,inf,inf
64,0.04,0.39999998,inf,inf,inf
64,0.04,0.43999997,inf,inf,inf
64,0.04,0.48,inf,inf,inf
64,0.04,0.52,inf,inf,inf
64,0.04,0.56,inf,inf,inf
64,0.04,0.6,inf,inf,inf
64,0.04,0.64,inf,inf,inf
64,0.04,0.68,inf,inf,inf
64,0.04,0.72,inf,inf,inf
64,0.04,0.76,inf,inf,inf
64,0.04,0.8,inf,inf,inf
64,0.04,0.84,inf,inf,inf
64,0.04,0.88,inf,inf,inf
64,0.04,0.92,inf,inf,inf
64,0.04,0.96,inf,inf,inf
64,0.08,0.04,inf,inf,inf
64,0.08,0.43999997,inf,inf,inf
64,0.08,0.48,inf,inf,inf
64,0.08,0.52,inf,inf,inf
64,0.08,0.56,inf,inf,inf
64,0.08,0.6,inf,inf,inf
64,0.08,0.64,inf,inf,inf
64,0.08,0.68,inf,inf,inf
64,0.08,0.72,inf,inf,inf
64,0.08,0.76,inf,inf,inf
64,0.08,0.8,inf,inf,inf
64,0.08,0.84,inf,inf,inf
64,0.08,0.88,inf,inf,inf
64,0.08,0.92,inf,inf,inf
64,0.08,0.96,inf,inf,inf
