popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.16,0.04,6316.8,6316.8,0
64,0.44,0.04,6630.4,6630.4,0
64,0.32,0.04,7449.6,7449.6,0
64,0.52,0.08,8691.2,8691.2,0
64,0.48,0.08,8832,8832,0
64,0.24,0.08,10835.2,10835.2,0
64,0.19999999,0.08,11180.8,11180.8,0
64,0.52,0.12,11238.4,11238.4,0
64,0.12,0.08,11283.2,11283.2,0
64,0.08,0.08,11475.2,11475.2,0
64,0.35999998,0.08,11488,11488,0
64,0,0.08,11756.8,11756.8,0
64,0.16,0.08,11872,11872,0
64,0.28,0.08,12211.2,12211.2,0
64,0.39999998,0.12,12384,12384,0
64,0.56,0.16,12448,12448,0
64,0.32,0.08,12697.6,12697.6,0
64,0.04,0.08,12729.6,12729.6,0
64,0.44,0.12,13216,13216,0
64,0.52,0.16,13574.4,13574.4,0
64,0.48,0.16,13612.8,13612.8,0
64,0.19999999,0.12,13868.8,13868.8,0
64,0.59999996,0.23999998,13875.2,13875.2,0
64,0.35999998,0.12,14265.6,14265.6,0
64,0.32,0.12,14419.2,14419.2,0
64,0.68,0.32,14540.8,14540.8,0
64,0.28,0.12,14675.2,14675.2,0
64,0.64,0.28,14784,14784,0
64,0.59999996,0.19999999,14931.2,14931.2,0
64,0.08,0.12,15046.4,15046.4,0
64,0.44,0.16,15596.8,15596.8,0
64,0.04,0.12,15808,15808,0
64,0.52,0.19999999,15974.4,15974.4,0
64,0.16,0.12,16224,16224,0
64,0.48,0.19999999,16384,16384,0
64,0.12,0.12,17171.2,17171.2,0
64,0.39999998,0.16,17606.4,17606.4,0
64,0.32,0.16,17734.4,17734.4,0
64,0.24,0.12,17824,17824,0
64,0.35999998,0.16,17888,17888,0
64,0.64,0.35999998,18073.6,18073.6,0
64,0.68,0.35999998,18380.8,18380.8,0
64,0.56,0.28,19225.6,19225.6,0
64,0.59999996,0.32,19225.6,19225.6,0
64,0.52,0.23999998,19558.4,19558.4,0
64,0,0.12,19814.4,19814.4,0
64,0.24,0.16,19872,19872,0
64,0.28,0.16,19910.4,19910.4,0
64,0.04,0.16,20921.6,20921.6,0
64,0.44,0.19999999,21030.4,21030.4,0
64,0.39999998,0.19999999,21203.2,21203.2,0
