neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
0.5,64,2,0.00000001,0.2,0.2,114201.6,114201.6,0
0.5,64,4,0.00000001,0.2,0.2,114201.6,114201.6,0
0.5,64,6,0.00000001,0.2,0.2,114201.6,114201.6,0
0.5,64,8,0.00000001,0.2,0.2,114201.6,114201.6,0
0.75,64,2,0.00000001,0.2,0.2,166854.4,166854.4,0
0.75,64,4,0.00000001,0.2,0.2,166854.4,166854.4,0
0.75,64,6,0.00000001,0.2,0.2,166854.4,166854.4,0
0.75,64,8,0.00000001,0.2,0.2,166854.4,166854.4,0
0.5,64,2,0.00000001,0.4,0.2,216953.6,216953.6,0
0.5,64,4,0.00000001,0.4,0.2,216953.6,216953.6,0
0.5,64,6,0.00000001,0.4,0.2,216953.6,216953.6,0
0.5,64,8,0.00000001,0.4,0.2,216953.6,216953.6,0
1.125,64,2,0.00000001,0.2,0.2,241004.8,241004.8,0
1.125,64,4,0.00000001,0.2,0.2,241004.8,241004.8,0
1.125,64,6,0.00000001,0.2,0.2,241004.8,241004.8,0
1.125,64,8,0.00000001,0.2,0.2,241004.8,241004.8,0
1,64,2,0.00000001,0.2,0.2,245030.4,245030.4,0
1,64,4,0.00000001,0.2,0.2,245030.4,245030.4,0
1,64,6,0.00000001,0.2,0.2,245030.4,245030.4,0
1,64,8,0.00000001,0.2,0.2,245030.4,245030.4,0
0.75,64,2,0.00000001,0.4,0.2,273184,273184,0
0.75,64,4,0.00000001,0.4,0.2,273184,273184,0
0.75,64,6,0.00000001,0.4,0.2,273184,273184,0
0.75,64,8,0.00000001,0.4,0.2,273184,273184,0
1.5,64,2,0.00000001,0.2,0.2,280211.2,280211.2,0
1.5,64,4,0.00000001,0.2,0.2,280211.2,280211.2,0
1.5,64,6,0.00000001,0.2,0.2,280211.2,280211.2,0
1.5,64,8,0.00000001,0.2,0.2,280211.2,280211.2,0
0.5,64,2,0.00000001,0.8,0.2,286739.2,286739.2,0
0.5,64,4,0.00000001,0.8,0.2,286739.2,286739.2,0
0.5,64,6,0.00000001,0.8,0.2,286739.2,286739.2,0
0.5,64,8,0.00000001,0.8,0.2,286739.2,286739.2,0
0.75,64,2,0.00000001,0.8,0.2,293683.2,293683.2,0
0.75,64,4,0.00000001,0.8,0.2,293683.2,293683.2,0
0.75,64,6,0.00000001,0.8,0.2,293683.2,293683.2,0
0.75,64,8,0.00000001,0.8,0.2,293683.2,293683.2,0
1.125,64,2,0.00000001,0.4,0.2,300768,300768,0
1.125,64,4,0.00000001,0.4,0.2,300768,300768,0
1.125,64,6,0.00000001,0.4,0.2,300768,300768,0
1.125,64,8,0.00000001,0.4,0.2,300768,300768,0
1,64,2,0.00000001,0.4,0.2,301606.4,301606.4,0
