cr,f,popsize,shubert,mean,mad
0,0.04,64,16563.2,16563.2,0
0,0.08,64,17632,17632,0
0.04,0.04,64,19801.6,19801.6,0
0,0.12,64,20204.8,20204.8,0
0.04,0.08,64,21356.8,21356.8,0
0.08,0.04,64,22598.4,22598.4,0
0.04,0.12,64,25004.8,25004.8,0
0,0.16,64,25516.8,25516.8,0
0.08,0.08,64,26272,26272,0
0.12,0.04,64,28134.4,28134.4,0
0,0.19999999,64,30316.8,30316.8,0
0.08,0.12,64,31808,31808,0
0,0.23999998,64,32761.6,32761.6,0
0.12,0.08,64,33536,33536,0
0.04,0.16,64,34041.6,34041.6,0
0.16,0.04,64,35462.4,35462.4,0
0,0.92,64,35635.2,35635.2,0
0,0.28,64,36748.8,36748.8,0
0.19999999,0.04,64,36857.6,36857.6,0
0,0.32,64,38873.6,38873.6,0
0,0.48,64,39129.6,39129.6,0
0,0.52,64,39820.8,39820.8,0
0,0.35999998,64,40140.8,40140.8,0
0.04,0.19999999,64,40441.6,40441.6,0
0,0.96,64,40761.6,40761.6,0
0,0.43999997,64,41811.2,41811.2,0
0,0.88,64,41862.4,41862.4,0
0,0.84,64,42137.6,42137.6,0
0,0.56,64,42713.6,42713.6,0
0,0.39999998,64,42944,42944,0
0.12,0.12,64,43366.4,43366.4,0
0.16,0.08,64,43686.4,43686.4,0
0.04,0.23999998,64,43891.2,43891.2,0
0.24,0.04,64,44371.2,44371.2,0
0,0.8,64,44665.6,44665.6,0
0,0.68,64,46784,46784,0
0,0.6,64,47200,47200,0
0,0.64,64,47577.6,47577.6,0
0.08,0.16,64,48736,48736,0
0,0.76,64,49056,49056,0
0,0.72,64,49478.4,49478.4,0
0.08,0.19999999,64,49696,49696,0
0.04,0.28,64,49894.4,49894.4,0
0.19999999,0.08,64,50444.8,50444.8,0
0.04,0.92,64,51347.2,51347.2,0
0.28,0.04,64,51744,51744,0
0.04,0.48,64,53056,53056,0
0.04,0.32,64,53388.8,53388.8,0
0.56,0.04,64,53817.6,53817.6,0
0.04,0.43999997,64,53952,53952,0
0.44,0.04,64,55673.6,55673.6,0
0.04,0.96,64,56166.4,56166.4,0
0.04,0.39999998,64,56819.2,56819.2,0
0.04,0.88,64,56844.8,56844.8,0
0.04,0.52,64,58700.8,58700.8,0
0.04,0.35999998,64,58720,58720,0
0.32,0.04,64,60204.8,60204.8,0
0.16,0.12,64,60384,60384,0
0.12,0.16,64,61689.6,61689.6,0
0.04,0.84,64,62284.8,62284.8,0
0.04,0.8,64,63116.8,63116.8,0
0.35999998,0.04,64,63200,63200,0
0.48,0.04,64,63449.6,63449.6,0
0.08,0.23999998,64,63846.4,63846.4,0
0.04,0.56,64,64166.4,64166.4,0
0.08,0.28,64,66899.2,66899.2,0
0.04,0.6,64,68876.8,68876.8,0
0.04,0.76,64,68902.4,68902.4,0
0.08,0.92,64,69619.2,69619.2,0
0.04,0.64,64,69670.4,69670.4,0
0.19999999,0.12,64,71008,71008,0
0.04,0.72,64,71302.4,71302.4,0
0.12,0.19999999,64,72051.2,72051.2,0
0.04,0.68,64,72204.8,72204.8,0
0.79999995,0.12,64,73075.2,73075.2,0
0.24,0.08,64,73260.8,73260.8,0
0.16,0.16,64,74777.6,74777.6,0
0.08,0.32,64,74886.4,74886.4,0
0.39999998,0.04,64,75833.6,75833.6,0
0.52,0.04,64,77344,77344,0
0.08,0.48,64,78169.6,78169.6,0
0.08,0.96,64,78553.6,78553.6,0
0.08,0.88,64,80876.8,80876.8,0
0.08,0.39999998,64,81670.4,81670.4,0
0.08,0.43999997,64,82425.6,82425.6,0
0.08,0.52,64,83296,83296,0
0.08,0.35999998,64,83859.2,83859.2,0
0.12,0.23999998,64,86067.2,86067.2,0
0.79999995,0.16,64,88064,88064,0
0.08,0.84,64,89587.2,89587.2,0
0.08,0.8,64,91244.8,91244.8,0
0.08,0.56,64,94368,94368,0
0.71999997,0.08,64,94566.4,94566.4,0
0.28,0.08,64,95468.8,95468.8,0
0.12,0.28,64,98201.6,98201.6,0
0.16,0.19999999,64,100140.8,100140.8,0
0.08,0.6,64,100185.6,100185.6,0
0.08,0.72,64,101766.4,101766.4,0
0.08,0.64,64,102771.2,102771.2,0
0.12,0.92,64,103648,103648,0
0.24,0.12,64,103737.6,103737.6,0
0.08,0.76,64,104793.6,104793.6,0
0.12,0.32,64,106899.2,106899.2,0
0.08,0.68,64,106912,106912,0
0.19999999,0.16,64,106963.2,106963.2,0
0.12,0.35999998,64,110720,110720,0
0.12,0.48,64,113728,113728,0
0.16,0.23999998,64,115852.8,115852.8,0
0.32,0.08,64,116371.2,116371.2,0
0.12,0.39999998,64,119225.6,119225.6,0
0.84,0.19999999,64,120435.2,120435.2,0
0.12,0.43999997,64,123430.4,123430.4,0
0.12,0.52,64,123539.2,123539.2,0
0.12,0.88,64,125817.6,125817.6,0
0.12,0.96,64,126220.8,126220.8,0
0.12,0.84,64,134534.4,134534.4,0
0.64,0.08,64,134604.8,134604.8,0
0.12,0.56,64,138912,138912,0
0.16,0.28,64,139225.6,139225.6,0
0.68,0.08,64,143078.4,143078.4,0
0.12,0.8,64,144537.6,144537.6,0
0.19999999,0.19999999,64,145536,145536,0
0.12,0.68,64,146816,146816,0
0.12,0.6,64,147033.6,147033.6,0
0.12,0.64,64,147379.2,147379.2,0
0.16,0.32,64,154892.8,154892.8,0
0.12,0.76,64,155776,155776,0
0.35999998,0.08,64,157241.6,157241.6,0
0.28,0.12,64,160723.2,160723.2,0
0.12,0.72,64,161184,161184,0
0.16,0.35999998,64,162156.8,162156.8,0
0.24,0.16,64,162278.4,162278.4,0
0.16,0.92,64,166246.4,166246.4,0
0.39999998,0.08,64,169638.4,169638.4,0
0.16,0.39999998,64,175123.2,175123.2,0
0.16,0.48,64,176876.8,176876.8,0
0.76,0.16,64,178502.4,178502.4,0
0.84,0.23999998,64,180672,180672,0
0.16,0.88,64,181017.6,181017.6,0
0.16,0.43999997,64,182361.6,182361.6,0
0.71999997,0.12,64,182809.6,182809.6,0
0.16,0.52,64,183104,183104,0
0.16,0.96,64,186028.8,186028.8,0
0.19999999,0.23999998,64,188723.2,188723.2,0
0.88,0.32,64,188800,188800,0
0.44,0.08,64,198080,198080,0
0.16,0.84,64,200275.2,200275.2,0
0.84,0.28,64,201920,201920,0
0.79999995,0.19999999,64,203692.8,203692.8,0
0.16,0.56,64,205593.6,205593.6,0
0.16,0.6,64,211788.8,211788.8,0
0.19999999,0.28,64,214918.4,214918.4,0
0.24,0.19999999,64,216896,216896,0
0.52,0.08,64,221113.6,221113.6,0
0.16,0.8,64,221849.6,221849.6,0
0.16,0.64,64,223187.2,223187.2,0
0.19999999,0.32,64,224492.8,224492.8,0
0.32,0.12,64,224620.8,224620.8,0
0.68,0.12,64,225894.4,225894.4,0
0.88,0.35999998,64,226054.4,226054.4,0
0.19999999,0.35999998,64,234265.6,234265.6,0
0.28,0.16,64,234323.2,234323.2,0
0.35999998,0.12,64,235891.2,235891.2,0
0.16,0.68,64,242240,242240,0
0.16,0.72,64,246470.4,246470.4,0
0.16,0.76,64,249632,249632,0
0.19999999,0.92,64,250752,250752,0
0.79999995,0.23999998,64,251974.4,251974.4,0
0.19999999,0.48,64,252409.6,252409.6,0
0.59999996,0.08,64,253766.4,253766.4,0
0.19999999,0.39999998,64,260108.8,260108.8,0
0.24,0.23999998,64,262867.2,262867.2,0
0.56,0.08,64,267801.6,267801.6,0
0.48,0.08,64,270617.6,270617.6,0
0.19999999,0.52,64,276953.6,276953.6,0
0.19999999,0.88,64,293280,293280,0
0.19999999,0.43999997,64,301196.8,301196.8,0
0.19999999,0.96,64,307123.2,307123.2,0
0.28,0.19999999,64,310592,310592,0
0.24,0.28,64,313017.6,313017.6,0
0.84,0.32,64,316460.8,316460.8,0
0.19999999,0.84,64,316659.2,316659.2,0
0.32,0.16,64,318016,318016,0
0.19999999,0.6,64,330540.8,330540.8,0
0.19999999,0.56,64,333964.8,333964.8,0
0.76,0.19999999,64,348761.6,348761.6,0
0.19999999,0.8,64,350880,350880,0
0.24,0.32,64,351609.6,351609.6,0
0.19999999,0.64,64,367328,367328,0
0.24,0.35999998,64,371353.6,371353.6,0
0.19999999,0.68,64,372902.4,372902.4,0
0.19999999,0.76,64,384070.4,384070.4,0
0.19999999,0.72,64,384908.8,384908.8,0
0.28,0.23999998,64,403302.4,403302.4,0
0.24,0.92,64,406310.4,406310.4,0
0.24,0.48,64,421017.6,421017.6,0
0.24,0.39999998,64,inf,inf,inf
0.24,0.43999997,64,inf,inf,inf
0.24,0.52,64,inf,inf,inf
0.24,0.56,64,inf,inf,inf
0.24,0.6,64,inf,inf,inf
0.24,0.64,64,inf,inf,inf
0.24,0.68,64,inf,inf,inf
0.24,0.72,64,inf,inf,inf
0.24,0.76,64,inf,inf,inf
0.24,0.8,64,inf,inf,inf
0.24,0.84,64,inf,inf,inf
0.24,0.88,64,inf,inf,inf
0.24,0.96,64,inf,inf,inf
0.28,0.28,64,inf,inf,inf
0.28,0.32,64,inf,inf,inf
0.28,0.35999998,64,inf,inf,inf
0.28,0.39999998,64,inf,inf,inf
0.28,0.43999997,64,inf,inf,inf
0.28,0.48,64,inf,inf,inf
0.28,0.52,64,inf,inf,inf
0.28,0.56,64,inf,inf,inf
0.28,0.6,64,inf,inf,inf
0.28,0.64,64,inf,inf,inf
0.28,0.68,64,inf,inf,inf
0.28,0.72,64,inf,inf,inf
0.28,0.76,64,inf,inf,inf
0.28,0.8,64,inf,inf,inf
0.28,0.84,64,inf,inf,inf
0.28,0.88,64,inf,inf,inf
0.28,0.92,64,inf,inf,inf
0.28,0.96,64,inf,inf,inf
0.32,0.19999999,64,inf,inf,inf
0.32,0.23999998,64,inf,inf,inf
0.32,0.28,64,inf,inf,inf
0.32,0.32,64,inf,inf,inf
0.32,0.35999998,64,inf,inf,inf
0.32,0.39999998,64,inf,inf,inf
0.32,0.43999997,64,inf,inf,inf
0.32,0.48,64,inf,inf,inf
0.32,0.52,64,inf,inf,inf
0.32,0.56,64,inf,inf,inf
0.32,0.6,64,inf,inf,inf
0.32,0.64,64,inf,inf,inf
0.32,0.68,64,inf,inf,inf
0.32,0.72,64,inf,inf,inf
0.32,0.76,64,inf,inf,inf
0.32,0.8,64,inf,inf,inf
0.32,0.84,64,inf,inf,inf
0.32,0.88,64,inf,inf,inf
0.32,0.92,64,inf,inf,inf
0.32,0.96,64,inf,inf,inf
0.35999998,0.16,64,inf,inf,inf
0.35999998,0.19999999,64,inf,inf,inf
0.35999998,0.23999998,64,inf,inf,inf
0.35999998,0.28,64,inf,inf,inf
0.35999998,0.32,64,inf,inf,inf
0.35999998,0.35999998,64,inf,inf,inf
0.35999998,0.39999998,64,inf,inf,inf
0.35999998,0.43999997,64,inf,inf,inf
0.35999998,0.48,64,inf,inf,inf
0.35999998,0.52,64,inf,inf,inf
0.35999998,0.56,64,inf,inf,inf
0.35999998,0.6,64,inf,inf,inf
0.35999998,0.64,64,inf,inf,inf
0.35999998,0.68,64,inf,inf,inf
0.35999998,0.72,64,inf,inf,inf
0.35999998,0.76,64,inf,inf,inf
0.35999998,0.8,64,inf,inf,inf
0.35999998,0.84,64,inf,inf,inf
0.35999998,0.88,64,inf,inf,inf
0.35999998,0.92,64,inf,inf,inf
0.35999998,0.96,64,inf,inf,inf
0.39999998,0.12,64,inf,inf,inf
0.39999998,0.16,64,inf,inf,inf
0.39999998,0.19999999,64,inf,inf,inf
0.39999998,0.23999998,64,inf,inf,inf
0.39999998,0.28,64,inf,inf,inf
0.39999998,0.32,64,inf,inf,inf
0.39999998,0.35999998,64,inf,inf,inf
0.39999998,0.39999998,64,inf,inf,inf
0.39999998,0.43999997,64,inf,inf,inf
0.39999998,0.48,64,inf,inf,inf
0.39999998,0.52,64,inf,inf,inf
0.39999998,0.56,64,inf,inf,inf
0.39999998,0.6,64,inf,inf,inf
0.39999998,0.64,64,inf,inf,inf
0.39999998,0.68,64,inf,inf,inf
0.39999998,0.72,64,inf,inf,inf
0.39999998,0.76,64,inf,inf,inf
0.39999998,0.8,64,inf,inf,inf
0.39999998,0.84,64,inf,inf,inf
0.39999998,0.88,64,inf,inf,inf
