h,p_best_rate,popsize,shubert,mean,mad
2,0.12,64,38534.4,38534.4,0
5,0.08,64,38585.6,38585.6,0
11,0.04,64,39462.4,39462.4,0
6,0.08,64,39475.2,39475.2,0
4,0.04,64,39481.6,39481.6,0
3,0.04,64,39488,39488,0
15,0.12,64,39648,39648,0
13,0.28,64,39673.6,39673.6,0
9,0.04,64,39692.8,39692.8,0
4,0.19999999,64,39737.6,39737.6,0
9,0.16,64,39769.6,39769.6,0
15,0.19999999,64,39769.6,39769.6,0
7,0.28,64,39833.6,39833.6,0
10,0.12,64,39840,39840,0
6,0.12,64,39846.4,39846.4,0
7,0.04,64,39884.8,39884.8,0
2,0.04,64,40000,40000,0
7,0.19999999,64,40019.2,40019.2,0
5,0.04,64,40070.4,40070.4,0
11,0.28,64,40089.6,40089.6,0
13,0.08,64,40172.8,40172.8,0
13,0.19999999,64,40198.4,40198.4,0
8,0.04,64,40217.6,40217.6,0
11,0.08,64,40294.4,40294.4,0
14,0.43999997,64,40300.8,40300.8,0
17,0.12,64,40339.2,40339.2,0
13,0.16,64,40345.6,40345.6,0
7,0.12,64,40364.8,40364.8,0
10,0.04,64,40371.2,40371.2,0
18,0.19999999,64,40390.4,40390.4,0
2,0.08,64,40422.4,40422.4,0
11,0.48,64,40435.2,40435.2,0
16,0.04,64,40460.8,40460.8,0
12,0.32,64,40467.2,40467.2,0
9,0.84,64,40480,40480,0
14,0.12,64,40480,40480,0
9,0.6,64,40486.4,40486.4,0
17,0.16,64,40492.8,40492.8,0
6,0.39999998,64,40499.2,40499.2,0
9,0.96,64,40512,40512,0
16,0.92,64,40537.6,40537.6,0
5,0.28,64,40550.4,40550.4,0
3,0.56,64,40563.2,40563.2,0
10,0.35999998,64,40569.6,40569.6,0
20,0.52,64,40569.6,40569.6,0
11,0.19999999,64,40576,40576,0
8,0.56,64,40588.8,40588.8,0
3,0.88,64,40595.2,40595.2,0
15,0.23999998,64,40601.6,40601.6,0
16,0.19999999,64,40620.8,40620.8,0
5,0.39999998,64,40633.6,40633.6,0
10,0.76,64,40640,40640,0
12,0.04,64,40640,40640,0
3,0.32,64,40646.4,40646.4,0
4,0.08,64,40652.8,40652.8,0
12,0.39999998,64,40665.6,40665.6,0
14,0.04,64,40672,40672,0
8,0.08,64,40678.4,40678.4,0
4,0.12,64,40691.2,40691.2,0
3,0.52,64,40697.6,40697.6,0
7,0.84,64,40704,40704,0
9,0.28,64,40716.8,40716.8,0
13,0.96,64,40716.8,40716.8,0
5,0.19999999,64,40723.2,40723.2,0
9,0.08,64,40723.2,40723.2,0
12,0.8,64,40742.4,40742.4,0
24,0.04,64,40742.4,40742.4,0
8,1,64,40748.8,40748.8,0
8,0.8,64,40761.6,40761.6,0
4,0.16,64,40768,40768,0
11,0.35999998,64,40774.4,40774.4,0
18,0.04,64,40774.4,40774.4,0
2,0.84,64,40793.6,40793.6,0
5,0.12,64,40800,40800,0
9,0.48,64,40800,40800,0
14,0.28,64,40800,40800,0
16,0.12,64,40800,40800,0
2,0.39999998,64,40825.6,40825.6,0
6,0.28,64,40864,40864,0
7,0.16,64,40864,40864,0
8,0.96,64,40883.2,40883.2,0
1,0.08,64,40896,40896,0
7,0.08,64,40902.4,40902.4,0
12,0.08,64,40915.2,40915.2,0
19,0.32,64,40934.4,40934.4,0
14,0.76,64,40947.2,40947.2,0
20,0.12,64,40947.2,40947.2,0
21,0.96,64,40953.6,40953.6,0
3,0.48,64,40966.4,40966.4,0
15,0.04,64,40972.8,40972.8,0
6,0.04,64,40979.2,40979.2,0
11,0.12,64,40979.2,40979.2,0
3,0.68,64,40985.6,40985.6,0
12,0.48,64,40985.6,40985.6,0
6,0.8,64,41004.8,41004.8,0
4,0.72,64,41011.2,41011.2,0
2,0.16,64,41024,41024,0
7,0.48,64,41024,41024,0
17,0.8,64,41024,41024,0
10,0.52,64,41036.8,41036.8,0
4,0.64,64,41043.2,41043.2,0
10,0.68,64,41043.2,41043.2,0
5,0.56,64,41056,41056,0
1,0.52,64,41062.4,41062.4,0
18,0.48,64,41075.2,41075.2,0
11,0.6,64,41081.6,41081.6,0
12,0.23999998,64,41081.6,41081.6,0
13,0.12,64,41081.6,41081.6,0
6,0.88,64,41088,41088,0
9,0.23999998,64,41088,41088,0
20,0.16,64,41088,41088,0
3,0.12,64,41094.4,41094.4,0
17,0.08,64,41094.4,41094.4,0
5,0.23999998,64,41100.8,41100.8,0
14,0.16,64,41100.8,41100.8,0
19,0.04,64,41107.2,41107.2,0
10,0.23999998,64,41120,41120,0
2,0.48,64,41126.4,41126.4,0
4,0.43999997,64,41126.4,41126.4,0
12,0.19999999,64,41132.8,41132.8,0
4,0.84,64,41139.2,41139.2,0
4,0.76,64,41145.6,41145.6,0
7,0.6,64,41164.8,41164.8,0
14,0.35999998,64,41164.8,41164.8,0
21,0.04,64,41184,41184,0
21,0.08,64,41184,41184,0
5,0.6,64,41209.6,41209.6,0
1,0.43999997,64,41235.2,41235.2,0
5,0.32,64,41241.6,41241.6,0
3,0.16,64,41260.8,41260.8,0
1,0.16,64,41267.2,41267.2,0
14,0.08,64,41292.8,41292.8,0
10,0.08,64,41305.6,41305.6,0
3,0.28,64,41312,41312,0
6,0.32,64,41312,41312,0
7,0.32,64,41312,41312,0
12,0.16,64,41312,41312,0
