popsize,restart_tolerance,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0.00000001,0.91999996,0.28,74643.2,117299.2,95971.2,21328
64,0.00000001,0.96,0.28,86361.6,133228.8,109795.2,23433.598
64,0.00000001,0.91999996,0.35999998,100089.6,162624,131356.8,31267.2
64,0.00000001,0.96,0.35999998,109337.6,166873.6,138105.6,28767.996
64,0.00000001,0.88,0.35999998,100550.4,206227.2,153388.8,52838.402
64,0.00000001,0.96,0.39999998,124038.4,188838.4,156438.4,32400.004
64,0.00000001,0.91999996,0.39999998,120755.2,203296,162025.6,41270.4
64,0.00000001,0.88,0.39999998,126963.2,226438.4,176700.81,49737.6
64,0.00000001,0.96,0.43999997,143462.4,231865.6,187664,44201.594
64,0.00000001,0.84,0.39999998,134208,255526.4,194867.2,60659.203
64,0.00000001,0.91999996,0.43999997,148268.8,249260.8,198764.8,50496
64,0.00000001,0.96,0.48,166617.6,269056,217836.8,51219.203
64,0.00000001,0.88,0.43999997,162444.8,296499.2,229472,67027.195
64,0.00000001,0.91999996,0.48,188723.2,312019.2,250371.19,61647.992
64,0.00000001,0.96,0.52,193356.8,318016,255686.4,62329.6
64,0.00000001,0.84,0.43999997,178566.4,366489.6,272528,93961.59
64,0.00000001,0.88,0.48,220921.6,401516.8,311219.2,90297.61
64,0.00000001,0.96,0.56,236486.4,395430.4,315958.4,79472
64,0.00000001,0.91999996,0.52,242214.4,423155.2,332684.8,90470.39
64,0.00000001,0,0.04,inf,inf,inf,inf
64,0.00000001,0,0.08,inf,inf,inf,inf
64,0.00000001,0,0.12,inf,inf,inf,inf
64,0.00000001,0,0.16,inf,inf,inf,inf
64,0.00000001,0,0.19999999,inf,inf,inf,inf
64,0.00000001,0,0.23999998,inf,inf,inf,inf
64,0.00000001,0,0.28,inf,inf,inf,inf
64,0.00000001,0,0.32,inf,inf,inf,inf
64,0.00000001,0,0.35999998,inf,inf,inf,inf
64,0.00000001,0,0.39999998,inf,inf,inf,inf
64,0.00000001,0,0.43999997,inf,inf,inf,inf
64,0.00000001,0,0.48,inf,inf,inf,inf
