init_jump,forest,hilly,mean,mad
0.00000001,inf,inf,inf,inf
0.0000001,inf,inf,inf,inf
0.000001,inf,inf,inf,inf
0.00001,inf,inf,inf,inf
0.0001,inf,inf,inf,inf
0.001,inf,inf,inf,inf
0.01,inf,inf,inf,inf
0.1,inf,inf,inf,inf
0.15,inf,inf,inf,inf
0.2,inf,inf,inf,inf
0.25,inf,inf,inf,inf
0.3,inf,inf,inf,inf
0.35000002,inf,inf,inf,inf
0.4,inf,inf,inf,inf
0.45000002,inf,inf,inf,inf
0.5,inf,inf,inf,inf
0.55,inf,inf,inf,inf
0.6,inf,inf,inf,inf
0.65,inf,inf,inf,inf
0.70000005,inf,inf,inf,inf
0.75,inf,inf,inf,inf
0.8000001,inf,inf,inf,inf
0.85,inf,inf,inf,inf
0.9,inf,inf,inf,inf
0.95000005,inf,inf,inf,inf
1,inf,inf,inf,inf
