h,p_best_rate,popsize,forest,hilly,mean,mad
1,0.04,64,inf,inf,inf,inf
1,0.08,64,inf,inf,inf,inf
1,0.12,64,436800,inf,inf,inf
1,0.16,64,442502.4,inf,inf,inf
1,0.19999999,64,inf,inf,inf,inf
1,0.23999998,64,448627.2,inf,inf,inf
1,0.28,64,453708.8,inf,inf,inf
1,0.32,64,inf,inf,inf,inf
1,0.35999998,64,448896,inf,inf,inf
1,0.39999998,64,449587.2,inf,inf,inf
1,0.43999997,64,inf,inf,inf,inf
1,0.48,64,464377.6,inf,inf,inf
1,0.52,64,446937.6,inf,inf,inf
1,0.56,64,460435.2,inf,inf,inf
1,0.6,64,inf,inf,inf,inf
1,0.64,64,453670.4,inf,inf,inf
1,0.68,64,inf,inf,inf,inf
1,0.72,64,inf,inf,inf,inf
1,0.76,64,inf,inf,inf,inf
1,0.8,64,inf,inf,inf,inf
1,0.84,64,inf,inf,inf,inf
1,0.88,64,inf,inf,inf,inf
1,0.92,64,inf,inf,inf,inf
1,0.96,64,inf,inf,inf,inf
1,1,64,inf,inf,inf,inf
2,0.04,64,453030.4,inf,inf,inf
2,0.08,64,433657.6,inf,inf,inf
2,0.12,64,inf,inf,inf,inf
2,0.16,64,460460.8,inf,inf,inf
2,0.19999999,64,inf,inf,inf,inf
2,0.23999998,64,448160,inf,inf,inf
2,0.28,64,452966.4,inf,inf,inf
2,0.32,64,453702.4,inf,inf,inf
2,0.35999998,64,437676.8,inf,inf,inf
2,0.39999998,64,428294.4,inf,inf,inf
2,0.43999997,64,458220.8,inf,inf,inf
2,0.48,64,inf,inf,inf,inf
2,0.52,64,inf,inf,inf,inf
2,0.56,64,inf,inf,inf,inf
2,0.6,64,464384,inf,inf,inf
2,0.64,64,inf,inf,inf,inf
2,0.68,64,459872,inf,inf,inf
2,0.72,64,461740.8,inf,inf,inf
2,0.76,64,inf,inf,inf,inf
2,0.8,64,inf,inf,inf,inf
2,0.84,64,453779.2,inf,inf,inf
2,0.88,64,inf,inf,inf,inf
2,0.92,64,inf,inf,inf,inf
2,0.96,64,inf,inf,inf,inf
2,1,64,inf,inf,inf,inf
3,0.04,64,446924.8,inf,inf,inf
3,0.08,64,inf,inf,inf,inf
3,0.12,64,436051.2,inf,inf,inf
3,0.16,64,447616,inf,inf,inf
3,0.19999999,64,417779.2,inf,inf,inf
3,0.23999998,64,437932.8,inf,inf,inf
3,0.28,64,450988.8,inf,inf,inf
3,0.32,64,442361.6,inf,inf,inf
