popsize,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0.91999996,0.32,46950.4,72851.2,59900.8,12950.402
64,0.84,0.39999998,57260.8,88320,72790.4,15529.6
64,0.79999995,0.39999998,57683.2,88979.2,73331.2,15648.002
64,0.84,0.35999998,46668.8,107385.6,77027.2,30358.4
64,0.91999996,0.39999998,61254.4,93280,77267.2,16012.801
64,0.84,0.43999997,69779.2,107187.2,88483.2,18704
64,0.91999996,0.43999997,68268.8,113260.8,90764.8,22496
64,0.91999996,0.48,81497.6,130304,105900.8,24403.2
64,0.88,0.48,83321.6,132512,107916.8,24595.2
64,0.84,0.48,84480,137472,110976,26496
64,0.91999996,0.52,95488,149568,122528,27040
64,0.88,0.52,98771.2,155648,127209.6,28438.398
64,0.76,0.48,90841.6,166406.4,128624,37782.402
64,0.71999997,0.48,93619.2,172518.4,133068.81,39449.6
64,0.91999996,0.56,111392,174547.2,142969.6,31577.602
64,0.84,0.52,110240,179596.8,144918.4,34678.4
64,0.88,0.56,124153.6,199648,161900.8,37747.2
64,0.79999995,0.52,121427.2,202585.6,162006.4,40579.195
64,0.76,0.52,127398.4,219596.8,173497.6,46099.2
64,0.91999996,0.6,135545.6,226144,180844.8,45299.203
64,0.84,0.56,142086.4,239200,190643.2,48556.797
64,0.68,0.52,138956.8,247667.2,193312,54355.203
64,0.88,0.6,158252.8,256275.2,207264,49011.203
64,0.91999996,0.64,165772.8,267680,216726.4,50953.6
64,0.79999995,0.56,158451.2,275788.8,217120,58668.805
64,0.96,0.6,127993.6,326342.4,227168,99174.41
64,0.76,0.56,172480,308620.8,240550.4,68070.41
64,0.71999997,0.56,186796.8,320089.6,253443.19,66646.4
64,0.84,0.6,194387.2,336870.4,265628.8,71241.6
64,0.35999998,0.56,213024,320384,266704,53680
64,0.39999998,0.56,221651.2,320844.8,271248,49596.805
64,0.88,0.64,207270.4,347500.8,277385.63,70115.2
64,0.68,0.56,211084.8,352076.8,281580.8,70496.01
64,0.91999996,0.68,214227.2,359904,287065.6,72838.4
64,0.79999995,0.6,212729.6,367872,290300.8,77571.2
64,0.64,0.56,214860.8,374265.6,294563.2,79702.4
64,0.59999996,0.56,219571.2,392825.6,306198.4,86627.195
64,0,0.04,inf,inf,inf,inf
64,0,0.08,inf,inf,inf,inf
64,0,0.12,inf,inf,inf,inf
64,0,0.16,inf,inf,inf,inf
64,0,0.19999999,inf,inf,inf,inf
64,0,0.23999998,inf,inf,inf,inf
64,0,0.28,inf,inf,inf,inf
64,0,0.32,inf,inf,inf,inf
64,0,0.35999998,inf,inf,inf,inf
64,0,0.39999998,inf,inf,inf,inf
64,0,0.43999997,inf,inf,inf,inf
64,0,0.48,inf,inf,inf,inf
64,0,0.52,inf,inf,inf,inf
64,0,0.56,167328,inf,inf,inf
64,0,0.6,290265.6,inf,inf,inf
64,0,0.64,inf,inf,inf,inf
64,0,0.68,inf,inf,inf,inf
64,0,0.72,inf,inf,inf,inf
64,0,0.76,inf,inf,inf,inf
64,0,0.8,inf,inf,inf,inf
64,0,0.84,inf,inf,inf,inf
64,0,0.88,inf,inf,inf,inf
64,0,0.92,inf,inf,inf,inf
64,0,0.96,inf,inf,inf,inf
64,0.04,0.04,inf,inf,inf,inf
64,0.04,0.08,inf,inf,inf,inf
64,0.04,0.12,inf,inf,inf,inf
64,0.04,0.16,inf,inf,inf,inf
64,0.04,0.19999999,inf,inf,inf,inf
64,0.04,0.23999998,inf,inf,inf,inf
64,0.04,0.28,inf,inf,inf,inf
64,0.04,0.32,inf,inf,inf,inf
64,0.04,0.35999998,inf,inf,inf,inf
64,0.04,0.39999998,inf,inf,inf,inf
64,0.04,0.43999997,inf,inf,inf,inf
64,0.04,0.48,inf,inf,inf,inf
64,0.04,0.52,inf,inf,inf,inf
64,0.04,0.56,172787.2,inf,inf,inf
64,0.04,0.6,305216,inf,inf,inf
64,0.04,0.64,inf,inf,inf,inf
64,0.04,0.68,inf,inf,inf,inf
64,0.04,0.72,inf,inf,inf,inf
64,0.04,0.76,inf,inf,inf,inf
64,0.04,0.8,inf,inf,inf,inf
64,0.04,0.84,inf,inf,inf,inf
64,0.04,0.88,inf,inf,inf,inf
64,0.04,0.92,inf,inf,inf,inf
64,0.04,0.96,inf,inf,inf,inf
64,0.08,0.04,inf,inf,inf,inf
64,0.08,0.08,inf,inf,inf,inf
64,0.08,0.12,inf,inf,inf,inf
64,0.08,0.16,inf,inf,inf,inf
64,0.08,0.19999999,inf,inf,inf,inf
64,0.08,0.23999998,inf,inf,inf,inf
64,0.08,0.28,inf,inf,inf,inf
