neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,forest,hilly,mean,mad
0.75,64,2,0.00000001,0.8,0.2,47334.4,63072,55203.2,7868.801
0.75,64,4,0.00000001,0.8,0.2,47334.4,63072,55203.2,7868.801
0.75,64,6,0.00000001,0.8,0.2,47334.4,63072,55203.2,7868.801
0.75,64,8,0.00000001,0.8,0.2,47334.4,63072,55203.2,7868.801
0.75,64,2,0.00000001,0.6,0.2,49798.4,64716.8,57257.6,7459.201
0.75,64,4,0.00000001,0.6,0.2,49798.4,64716.8,57257.6,7459.201
0.75,64,6,0.00000001,0.6,0.2,49798.4,64716.8,57257.6,7459.201
0.75,64,8,0.00000001,0.6,0.2,49798.4,64716.8,57257.6,7459.201
0.75,64,2,0.00000001,0.4,0.2,58886.4,74675.2,66780.8,7894.4023
0.75,64,4,0.00000001,0.4,0.2,58886.4,74675.2,66780.8,7894.4023
0.75,64,6,0.00000001,0.4,0.2,58886.4,74675.2,66780.8,7894.4023
0.75,64,8,0.00000001,0.4,0.2,58886.4,74675.2,66780.8,7894.4023
1,64,2,0.00000001,0.8,0.2,61516.8,83148.8,72332.8,10815.998
1,64,4,0.00000001,0.8,0.2,61516.8,83148.8,72332.8,10815.998
1,64,6,0.00000001,0.8,0.2,61516.8,83148.8,72332.8,10815.998
1,64,8,0.00000001,0.8,0.2,61516.8,83148.8,72332.8,10815.998
1.125,64,2,0.00000001,0.8,0.2,70944,91014.4,80979.2,10035.199
1.125,64,4,0.00000001,0.8,0.2,70944,91014.4,80979.2,10035.199
1.125,64,6,0.00000001,0.8,0.2,70944,91014.4,80979.2,10035.199
1.125,64,8,0.00000001,0.8,0.2,70944,91014.4,80979.2,10035.199
1,64,2,0.00000001,0.6,0.2,75456,97472,86464,11008
1,64,4,0.00000001,0.6,0.2,75456,97472,86464,11008
1,64,6,0.00000001,0.6,0.2,75456,97472,86464,11008
1,64,8,0.00000001,0.6,0.2,75456,97472,86464,11008
1.125,64,2,0.00000001,0.6,0.2,93491.2,117088,105289.6,11798.398
1.125,64,4,0.00000001,0.6,0.2,93491.2,117088,105289.6,11798.398
1.125,64,6,0.00000001,0.6,0.2,93491.2,117088,105289.6,11798.398
1.125,64,8,0.00000001,0.6,0.2,93491.2,117088,105289.6,11798.398
1,64,2,0.00000001,0.4,0.2,97740.8,114112,105926.4,8185.6016
1,64,4,0.00000001,0.4,0.2,97740.8,114112,105926.4,8185.6016
1,64,6,0.00000001,0.4,0.2,97740.8,114112,105926.4,8185.6016
1,64,8,0.00000001,0.4,0.2,97740.8,114112,105926.4,8185.6016
1.5,64,2,0.00000001,0.8,0.2,102835.2,124160,113497.6,10662.398
1.5,64,4,0.00000001,0.8,0.2,102835.2,124160,113497.6,10662.398
1.5,64,6,0.00000001,0.8,0.2,102835.2,124160,113497.6,10662.398
1.5,64,8,0.00000001,0.8,0.2,102835.2,124160,113497.6,10662.398
1.125,64,2,0.00000001,0.4,0.2,121824,137446.4,129635.2,7811.203
1.125,64,4,0.00000001,0.4,0.2,121824,137446.4,129635.2,7811.203
1.125,64,6,0.00000001,0.4,0.2,121824,137446.4,129635.2,7811.203
1.125,64,8,0.00000001,0.4,0.2,121824,137446.4,129635.2,7811.203
0.5,64,2,0.00000001,0.8,0.4,133420.8,156345.6,144883.19,11462.398
0.5,64,4,0.00000001,0.8,0.4,133420.8,156345.6,144883.19,11462.398
0.5,64,6,0.00000001,0.8,0.4,133420.8,156345.6,144883.19,11462.398
0.5,64,8,0.00000001,0.8,0.4,133420.8,156345.6,144883.19,11462.398
1.5,64,2,0.00000001,0.6,0.2,145081.6,162425.6,153753.6,8672
1.5,64,4,0.00000001,0.6,0.2,145081.6,162425.6,153753.6,8672
1.5,64,6,0.00000001,0.6,0.2,145081.6,162425.6,153753.6,8672
1.5,64,8,0.00000001,0.6,0.2,145081.6,162425.6,153753.6,8672
1.5,64,2,0.00000001,0.4,0.2,171302.4,181363.2,176332.81,5030.3984
1.5,64,4,0.00000001,0.4,0.2,171302.4,181363.2,176332.81,5030.3984
1.5,64,6,0.00000001,0.4,0.2,171302.4,181363.2,176332.81,5030.3984
1.5,64,8,0.00000001,0.4,0.2,171302.4,181363.2,176332.81,5030.3984
0.75,64,2,0.00000001,0.8,0.4,176563.2,195449.6,186006.4,9443.195
0.75,64,4,0.00000001,0.8,0.4,176563.2,195449.6,186006.4,9443.195
0.75,64,6,0.00000001,0.8,0.4,176563.2,195449.6,186006.4,9443.195
0.75,64,8,0.00000001,0.8,0.4,176563.2,195449.6,186006.4,9443.195
0.5,64,2,0.00000001,0.6,0.4,175929.6,196652.8,186291.19,10361.602
0.5,64,4,0.00000001,0.6,0.4,175929.6,196652.8,186291.19,10361.602
0.5,64,6,0.00000001,0.6,0.4,175929.6,196652.8,186291.19,10361.602
0.5,64,8,0.00000001,0.6,0.4,175929.6,196652.8,186291.19,10361.602
1,64,2,0.00000001,0.8,0.4,207462.4,222643.2,215052.81,7590.3984
1,64,4,0.00000001,0.8,0.4,207462.4,222643.2,215052.81,7590.3984
1,64,6,0.00000001,0.8,0.4,207462.4,222643.2,215052.81,7590.3984
1,64,8,0.00000001,0.8,0.4,207462.4,222643.2,215052.81,7590.3984
0.75,64,2,0.00000001,0.6,0.4,215763.2,234624,225193.6,9430.398
0.75,64,4,0.00000001,0.6,0.4,215763.2,234624,225193.6,9430.398
0.75,64,6,0.00000001,0.6,0.4,215763.2,234624,225193.6,9430.398
0.75,64,8,0.00000001,0.6,0.4,215763.2,234624,225193.6,9430.398
1.125,64,2,0.00000001,0.8,0.4,219046.4,233619.2,226332.81,7286.3984
1.125,64,4,0.00000001,0.8,0.4,219046.4,233619.2,226332.81,7286.3984
1.125,64,6,0.00000001,0.8,0.4,219046.4,233619.2,226332.81,7286.3984
1.125,64,8,0.00000001,0.8,0.4,219046.4,233619.2,226332.81,7286.3984
0.5,64,2,0.00000001,0.8,0.6,235276.8,249401.6,242339.19,7062.3984
0.5,64,4,0.00000001,0.8,0.6,235276.8,249401.6,242339.19,7062.3984
0.5,64,6,0.00000001,0.8,0.6,235276.8,249401.6,242339.19,7062.3984
0.5,64,8,0.00000001,0.8,0.6,235276.8,249401.6,242339.19,7062.3984
1,64,2,0.00000001,0.6,0.4,240550.4,258201.6,249376,8825.594
1,64,4,0.00000001,0.6,0.4,240550.4,258201.6,249376,8825.594
1,64,6,0.00000001,0.6,0.4,240550.4,258201.6,249376,8825.594
1,64,8,0.00000001,0.6,0.4,240550.4,258201.6,249376,8825.594
1.5,64,2,0.00000001,0.8,0.4,244396.8,255782.4,250089.6,5692.8047
1.5,64,4,0.00000001,0.8,0.4,244396.8,255782.4,250089.6,5692.8047
1.5,64,6,0.00000001,0.8,0.4,244396.8,255782.4,250089.6,5692.8047
1.5,64,8,0.00000001,0.8,0.4,244396.8,255782.4,250089.6,5692.8047
1.125,64,2,0.00000001,0.6,0.4,249049.6,264665.6,256857.6,7808
1.125,64,4,0.00000001,0.6,0.4,249049.6,264665.6,256857.6,7808
1.125,64,6,0.00000001,0.6,0.4,249049.6,264665.6,256857.6,7808
1.125,64,8,0.00000001,0.6,0.4,249049.6,264665.6,256857.6,7808
