cr,f,popsize,forest,hilly,mean,mad
0.12,0.19999999,64,30150.4,43654.4,36902.4,6751.999
0.24,0.32,64,45241.6,68224,56732.8,11491.199
0.12,0.35999998,64,49260.8,77926.4,63593.6,14332.799
0.19999999,0.35999998,64,52288,81984,67136,14848
0.24,0.35999998,64,55308.8,85094.4,70201.6,14892.799
0.12,0.39999998,64,57036.8,92934.4,74985.6,17948.799
0.08,0.39999998,64,54822.4,99308.8,77065.59,22243.2
0.16,0.39999998,64,60051.2,97120,78585.6,18534.4
0.19999999,0.39999998,64,63264,95072,79168,15904
0.12,0.43999997,64,63641.6,104294.4,83968,20326.398
0.08,0.43999997,64,60928,108697.6,84812.8,23884.8
0.24,0.39999998,64,69094.4,110726.4,89910.4,20816
0.16,0.43999997,64,70598.4,110816,90707.2,20108.8
0.28,0.39999998,64,72550.4,112249.6,92400,19849.602
0.12,0.48,64,74835.2,115360,95097.6,20262.398
0.08,0.48,64,67321.6,127161.6,97241.6,29920
0.19999999,0.43999997,64,78860.8,117785.6,98323.2,19462.402
0.04,0.32,64,50124.8,146720,98422.4,48297.6
0.32,0.39999998,64,75846.4,122003.2,98924.8,23078.402
0.16,0.48,64,81644.8,122688,102166.4,20521.602
0.08,0.52,64,75424,130835.2,103129.6,27705.602
0.04,0.35999998,64,54016,159334.4,106675.2,52659.203
0.24,0.43999997,64,83072,130771.2,106921.6,23849.602
0.12,0.52,64,82899.2,132588.8,107744,24844.797
0.35999998,0.39999998,64,84851.2,130649.6,107750.41,22899.2
0.04,0.39999998,64,57817.6,164358.4,111088,53270.402
0.08,0.56,64,83667.2,140428.8,112048,28380.797
0.19999999,0.48,64,93113.6,135776,114444.8,21331.2
0.04,0.43999997,64,62982.4,167936,115459.2,52476.8
0.16,0.52,64,95596.8,142073.6,118835.195,23238.398
0.12,0.56,64,94195.2,147500.8,120848,26652.797
0.08,0.6,64,90169.6,157497.6,123833.59,33663.996
0.04,0.48,64,67596.8,180595.2,124096,56499.203
0.04,0.52,64,72416,180390.4,126403.2,53987.203
0.32,0.43999997,64,100531.2,157049.6,128790.4,28259.195
0.12,0.6,64,105593.6,159059.2,132326.4,26732.8
0.04,0.56,64,76966.4,190323.2,133644.8,56678.402
0.24,0.48,64,102675.2,164870.4,133772.81,31097.602
0.08,0.64,64,98828.8,168915.2,133872,35043.203
0.16,0.56,64,110035.2,161881.6,135958.4,25923.195
0.19999999,0.52,64,109312,165203.2,137257.6,27945.602
0.04,0.6,64,81772.8,195859.2,138816,57043.203
0.35999998,0.43999997,64,111347.2,170144,140745.6,29398.398
0.08,0.68,64,108166.4,182310.4,145238.4,37072.004
0.12,0.64,64,119148.8,175622.4,147385.6,28236.805
0.04,0.64,64,87961.6,209478.4,148720,60758.402
0.28,0.48,64,117606.4,180524.8,149065.6,31459.2
0.04,0.68,64,93894.4,204435.2,149164.8,55270.402
0.08,0.72,64,116531.2,183833.6,150182.4,33651.195
0.16,0.6,64,126278.4,178067.2,152172.8,25894.402
0.04,0.72,64,100076.8,211699.2,155888,55811.203
0.24,0.52,64,127616,186470.4,157043.2,29427.203
0.19999999,0.56,64,129139.2,185049.6,157094.4,27955.195
0.04,0.76,64,104352,213497.6,158924.8,54572.797
0.12,0.68,64,133299.2,186892.8,160096,26796.797
0.08,0.76,64,128505.6,196243.2,162374.4,33868.8
0.04,0.8,64,110988.8,224198.4,167593.6,56604.805
0.44,0.43999997,64,133625.6,205280,169452.8,35827.203
0.32,0.48,64,133260.8,206310.4,169785.6,36524.805
0.08,0.8,64,136166.4,207411.2,171788.81,35622.4
0.12,0.72,64,147904,205241.6,176572.8,28668.797
0.16,0.64,64,148998.4,204294.4,176646.4,27648
0.04,0.84,64,116908.8,237472,177190.4,60281.6
0.28,0.52,64,147571.2,209248,178409.6,30838.398
0.04,0.88,64,122003.2,237088,179545.6,57542.4
0.08,0.84,64,145478.4,217510.4,181494.4,36016
0.35999998,0.48,64,146163.2,227980.8,187072,40908.797
0.24,0.56,64,153235.2,221536,187385.6,34150.4
0.08,0.88,64,155584,222163.2,188873.6,33289.6
0.19999999,0.6,64,157760,221011.2,189385.6,31625.602
0.04,0.92,64,128915.2,251968,190441.6,61526.4
0.04,0.96,64,133977.6,250137.6,192057.6,58080
0.12,0.76,64,164352,219801.6,192076.8,27724.797
0.08,0.92,64,164454.4,232288,198371.2,33916.797
0.16,0.68,64,171091.2,232332.8,201712,30620.797
0.08,0.96,64,170009.6,236531.2,203270.4,33260.805
0.52,0.43999997,64,155353.6,255609.6,205481.6,50128
0.12,0.8,64,178406.4,235283.2,206844.81,28438.398
0.32,0.52,64,173894.4,246713.6,210304,36409.594
0.19999999,0.64,64,177881.6,247526.4,212704,34822.406
0.39999998,0.48,64,168825.6,257625.6,213225.6,44400
0.16,0.72,64,191366.4,241203.2,216284.81,24918.398
0.12,0.84,64,194329.6,249152,221740.8,27411.203
0.28,0.56,64,186739.2,258572.8,222656,35916.797
0.24,0.6,64,191795.2,262828.8,227312,35516.805
0.44,0.48,64,184051.2,284102.4,234076.81,50025.6
0.12,0.88,64,208249.6,264505.6,236377.6,28128
0.16,0.76,64,217894.4,269792,243843.2,25948.797
0.19999999,0.68,64,216454.4,277260.8,246857.61,30403.203
0.12,0.92,64,226585.6,272659.2,249622.39,23036.797
0.35999998,0.52,64,199027.2,306681.6,252854.4,53827.195
0.12,0.96,64,234438.4,281772.8,258105.61,23667.203
0.24,0.64,64,223430.4,297299.2,260364.8,36934.39
0.16,0.8,64,240038.4,292230.4,266134.4,26096
0.28,0.6,64,227635.2,308179.2,267907.2,40271.992
0.32,0.56,64,224531.2,312864,268697.6,44166.4
0.19999999,0.72,64,246739.2,302227.2,274483.2,27743.992
0.16,0.84,64,262380.8,313299.2,287840,25459.188
0.39999998,0.52,64,232371.2,356332.8,294352,61980.805
0.24,0.68,64,268300.8,330976,299638.4,31337.594
0.52,0.48,64,244761.6,368396.8,306579.2,61817.61
0.19999999,0.76,64,284729.6,333216,308972.8,24243.203
0.16,0.88,64,285420.8,335142.4,310281.63,24860.797
0.35999998,0.56,64,263193.6,375097.6,319145.6,55952
0.28,0.64,64,287129.6,357440,322284.8,35155.203
0.56,0.48,64,259187.2,387750.4,323468.8,64281.6
0.32,0.6,64,289728,362656,326192,36464
0.16,0.92,64,305209.6,348435.2,326822.38,21612.797
0.19999999,0.8,64,321094.4,376236.8,348665.63,27571.203
0.16,0.96,64,331366.4,366848,349107.2,17740.797
0.24,0.72,64,328601.6,373286.4,350944,22342.406
